Value;Температура выпускных газов на выходе из цилиндра
0.0;409.32006189843906
1.0;402.8715956946507
2.0;303.49546647402997
3.0;401.1900404835413
4.0;406.4307361291008
5.0;403.2177994231638
6.0;408.51888249190836
7.0;405.0889752096025
8.0;406.34565380409674
9.0;405.6601389153846
10.0;401.5740710949849
11.0;505.4514796637961
12.0;402.80495456124316
13.0;507.139436163995
14.0;402.94149771291256
15.0;299.67666358026423
16.0;406.8267380906232
17.0;503.3996739672629
18.0;401.3733910932778
19.0;403.78158316208635
20.0;404.82878405050053
21.0;406.15286690470754
22.0;403.66135690513937
23.0;304.6640807743606
24.0;305.2592369165673
25.0;306.40630849333877
26.0;402.76177061178817
27.0;405.62222880145487
28.0;404.5433430218141
29.0;409.89459299044347
30.0;408.52811654840804
31.0;504.26898998435314
32.0;403.16636330733195
33.0;400.8106135102781
34.0;401.1774947239619
35.0;405.16074243686023
36.0;401.7605415235014
37.0;404.46037801711225
38.0;409.56846061832886
39.0;406.7757857728078
40.0;405.7054705761199
41.0;303.69185567285956
42.0;403.9329132392794
43.0;404.5616502917942
44.0;406.3696773210289
45.0;408.6576095433445
46.0;406.1744470610563
47.0;405.7120823267591
48.0;408.8802508938713
49.0;401.02279455349566
50.0;407.5919744230861
51.0;404.7745447213791
52.0;408.77856638641447
53.0;503.7317956293275
54.0;407.53980394221855
55.0;405.3723295039708
56.0;400.957898504589
57.0;405.63432088975503
58.0;402.3856340533863
59.0;510.7642317748761
60.0;401.52212916155537
61.0;400.125992756001
62.0;405.20425028546464
63.0;505.2401471592854
64.0;406.0270950306585
65.0;403.7401039876482
66.0;402.8008036935902
67.0;402.8110300842402
68.0;409.1010617386661
69.0;508.5943335634112
70.0;408.67046112383997
71.0;405.06096442599727
72.0;506.85069957014406
73.0;300.1314863113091
74.0;301.10739715306875
75.0;403.0407367489019
76.0;510.72891536676167
77.0;401.45743953410357
78.0;305.45735786921256
79.0;403.4046279646892
80.0;409.6710066470816
81.0;402.70507192174705
82.0;408.3923038872867
83.0;409.0947068779467
84.0;406.5043259880667
85.0;505.34010801186145
86.0;303.59134546915703
87.0;506.6175955835859
88.0;300.5404816753074
89.0;504.2661914379708
90.0;403.63887366897035
91.0;404.68371641154715
92.0;303.4870925193168
93.0;400.153312620702
94.0;406.5310076496048
95.0;408.5899695976772
96.0;504.5465200104042
97.0;405.19945060861744
98.0;400.4900543844524
99.0;305.16702534700266
100.0;406.29256037159735
101.0;302.4130927731146
102.0;403.50804614430115
103.0;508.46539695172237
104.0;304.2438861542662
105.0;405.9787308053239
106.0;407.3785045318809
107.0;402.5147779043705
108.0;507.52174699211463
109.0;402.6642799188535
110.0;304.17001206019296
111.0;505.31319821501177
112.0;304.9335439220356
113.0;409.0208715397064
114.0;299.58809535667217
115.0;406.09610662265294
116.0;406.62626951674815
117.0;502.7661031589671
118.0;403.70195895385035
119.0;400.92633600714686
120.0;408.55679907617485
121.0;407.2900108175283
122.0;402.8445445199271
123.0;406.59947936418484
124.0;404.6009815557636
125.0;401.79247238676186
126.0;402.9540459121423
127.0;402.0575054471612
128.0;402.05926088605906
129.0;400.6619581021738
130.0;506.5360972809438
131.0;301.02172444298526
132.0;400.11206787996895
133.0;406.4579762758447
134.0;408.05886191264744
135.0;401.7445131381489
136.0;403.2112966650359
137.0;403.09125895428934
138.0;409.28222617767443
139.0;401.3270461184991
140.0;401.57026482795106
141.0;404.77596563393143
142.0;405.676610753589
143.0;510.09895719976834
144.0;405.5908479766501
145.0;400.52428820063204
146.0;406.05475458095077
147.0;401.6838829678941
148.0;503.6053657974933
149.0;403.15421393042806
150.0;503.5024687169193
151.0;303.712945808082
152.0;306.79727191254653
153.0;400.6602360441605
154.0;405.54421015803155
155.0;400.08912071942126
156.0;400.1108697820172
157.0;409.6769635366362
158.0;400.12899097083726
159.0;298.75650851376645
160.0;403.41467564299666
161.0;408.74983892976974
162.0;405.2326760317575
163.0;509.246632806176
164.0;509.5965768530939
165.0;409.1821992272267
166.0;509.79691376132814
167.0;404.8397037411714
168.0;403.57056548655453
169.0;405.18263054149804
170.0;404.0533722076643
171.0;401.512385314608
172.0;400.28229541906296
173.0;400.4909135243873
174.0;401.27182915275796
175.0;409.887271890086
176.0;401.24669873045974
177.0;409.0146172439294
178.0;400.79311858251145
179.0;305.47303318624745
180.0;403.40765303365407
181.0;304.7041068260714
182.0;401.3772760542741
183.0;400.32206249433864
184.0;301.88995648975276
185.0;408.0703563155019
186.0;409.9422332184726
187.0;405.21445284149723
188.0;508.6239908128054
189.0;408.8264841093757
190.0;404.8392331828735
191.0;402.8101746970039
192.0;400.05623515334617
193.0;509.95316870262326
194.0;306.53921527684247
195.0;409.5091571114617
196.0;307.36772746884066
197.0;406.0539552607784
198.0;401.5823758486944
199.0;406.4122974460647
200.0;401.95971366497696
201.0;402.66845029282194
202.0;402.1760640051297
203.0;402.1636001378383
204.0;403.92863857965466
205.0;504.2376496329773
206.0;409.65493469301987
207.0;402.2467154496693
208.0;407.939062424993
209.0;408.57684938097117
210.0;409.468002355576
211.0;406.53266145961203
212.0;407.2884999083396
213.0;404.6951961075786
214.0;404.8053070833143
215.0;402.895874969191
216.0;511.95745729610445
217.0;400.74106352227363
218.0;409.00231174298335
219.0;405.7464684082352
220.0;400.0800116724279
221.0;402.42227870743125
222.0;506.2439303259138
223.0;400.608380744007
224.0;406.96609816507197
225.0;401.5007281230431
226.0;402.48376955555887
227.0;403.28136180750914
228.0;503.1810589476381
229.0;407.5902069831588
230.0;401.3261005556578
231.0;406.57317616702693
232.0;512.1225511482979
233.0;405.0962172779411
234.0;406.8309660849675
235.0;403.6435321318862
236.0;400.62934164314095
237.0;401.3751899912328
238.0;403.2429690330362
239.0;403.4929007974837
240.0;409.1031248541082
241.0;408.3805594443479
242.0;404.41904296871246
243.0;406.8534268647665
244.0;405.16808214895
245.0;408.5554967573129
246.0;401.21591280192877
247.0;401.06825209217504
248.0;409.0515270236219
249.0;406.84806795321686
250.0;402.1492358083132
251.0;400.6078165273395
252.0;406.42048158262565
253.0;509.2771501290772
254.0;306.1099222750196
255.0;405.7584080743268
256.0;405.6350174291198
257.0;405.94327414872646
258.0;304.2121615058736
259.0;299.3693125494027
260.0;401.3376903198998
261.0;408.9104169683388
262.0;405.37284012701645
263.0;504.0169668197871
264.0;405.0691399395953
265.0;406.8482474135824
266.0;307.4771043120491
267.0;406.3132121478682
268.0;510.82048848420965
269.0;405.5720915834166
270.0;303.6367821614566
271.0;405.4265211956504
272.0;505.64164169231134
273.0;409.2947277576524
274.0;402.1384010730345
275.0;404.301213343278
276.0;407.4892003152282
277.0;307.175106996898
278.0;409.8592563080432
279.0;408.8077110624035
280.0;401.80196632647517
281.0;510.2560284055941
282.0;402.51823923364736
283.0;512.0316971639
284.0;409.0514989362798
285.0;508.1443794312319
286.0;409.57677116503703
287.0;409.25460065544263
288.0;408.02543877426723
289.0;503.75402690247336
290.0;403.55201427767656
291.0;408.4311961951603
292.0;404.2274341876629
293.0;507.30057255524105
294.0;504.0478449767772
295.0;404.0664470511767
296.0;408.8038122987433
297.0;400.2423021595585
298.0;400.3138136115875
299.0;404.9344473225393
300.0;409.85439574070546
301.0;409.0630520843733
302.0;508.9258862854642
303.0;404.55336770957103
304.0;404.9564171636753
305.0;407.85987874141927
306.0;404.5981150306531
307.0;400.0111397070101
308.0;404.0504469276067
309.0;409.24572872246335
310.0;406.0529290425965
311.0;400.99209510291064
312.0;409.6165240397138
313.0;406.0567104390953
314.0;404.75958669020207
315.0;403.60858661179185
316.0;400.4399243086361
317.0;408.07883110436495
318.0;503.0652520851303
319.0;298.9706611729439
320.0;307.21481126905644
321.0;503.4292415034803
322.0;400.47564467536904
323.0;404.4275065163593
324.0;409.4936904303301
325.0;404.6939783341941
326.0;406.79109441271333
327.0;400.725844313573
328.0;404.8544440211609
329.0;401.5716397592297
330.0;405.9088708367838
331.0;403.437354382831
332.0;409.67439959308757
333.0;403.44557602535536
334.0;299.8357757293153
335.0;303.76028925894104
336.0;403.9129780394602
337.0;504.15923161195525
338.0;406.85666263477714
339.0;400.529821549658
340.0;408.488492732636
341.0;506.0407114233863
342.0;402.41176656603744
343.0;403.18198702833325
344.0;407.13105889887726
345.0;404.91015339378464
346.0;502.7854242781007
347.0;404.92002347217874
348.0;400.34749115152965
349.0;406.3819980926887
350.0;406.4620153818039
351.0;409.4278671820299
352.0;409.13807753015806
353.0;407.45791072568176
354.0;505.63920946157083
355.0;511.6736343155337
356.0;400.09690310131833
357.0;407.5221649398305
358.0;402.3007577044034
359.0;404.98679858695084
360.0;405.2871498092747
361.0;506.64035432001333
362.0;300.20354858868325
363.0;401.0623021528224
364.0;409.24254020601296
365.0;407.80136217659293
366.0;409.28995034892176
367.0;408.7521261969486
368.0;307.44252577480097
369.0;297.76088600025696
370.0;401.3546011085214
371.0;404.7780028833661
372.0;402.6114752349484
373.0;504.0239486160243
374.0;299.32094904790824
375.0;306.0402193424793
376.0;406.8649789980828
377.0;403.6347509137623
378.0;512.2313468007084
379.0;406.5307533481737
380.0;304.2303253727696
381.0;402.75045577216764
382.0;507.78383547932015
383.0;401.03368392910113
384.0;403.26175267952135
385.0;401.4235428630455
386.0;509.4484421504884
387.0;504.78547968317383
388.0;301.8686770566533
389.0;404.3467515694231
390.0;404.2620028673835
391.0;405.8815535719374
392.0;403.0642042482995
393.0;507.8351151706577
394.0;408.46688560890277
395.0;509.23488670761816
396.0;400.116872186301
397.0;400.4147916154426
398.0;407.03575604130066
399.0;302.9445219826164
400.0;404.31770661476173
401.0;405.12751707920813
402.0;401.42829287663625
403.0;404.213214980332
404.0;407.5624909564067
405.0;409.57386667700325
406.0;408.2206157274983
407.0;407.8421244968107
408.0;405.4480581500128
409.0;305.3410703702799
410.0;407.2498353940951
411.0;406.7283281060503
412.0;408.14753910117554
413.0;407.1254923737539
414.0;400.37790686649714
415.0;409.2037915754841
416.0;511.9959970081966
417.0;298.7701048997085
418.0;403.7511927084071
419.0;406.8559072245523
420.0;409.68483730556386
421.0;402.6512770690793
422.0;402.4316856157379
423.0;300.84581246119774
424.0;297.8741368762928
425.0;404.67867226527875
426.0;506.1200867403358
427.0;404.92939017739906
428.0;401.24929402047826
429.0;302.11773035961704
430.0;409.79981042920747
431.0;408.1081439758762
432.0;402.2001834201535
433.0;402.4725865399472
434.0;406.95408437773017
435.0;401.15517498767065
436.0;405.4501492744666
437.0;401.49620063457905
438.0;402.6876582191029
439.0;404.0320479061601
440.0;503.99188214825335
441.0;400.7956938547475
442.0;300.7912710580025
443.0;512.045758545517
444.0;403.4318487070738
445.0;301.6341446904042
446.0;511.5475022883665
447.0;400.03292598437486
448.0;405.22899429520436
449.0;300.5762333812786
450.0;508.139820225321
451.0;407.56345748856285
452.0;306.4469986323865
453.0;403.2040046718217
454.0;405.78558675662896
455.0;408.50842553229904
456.0;407.1758925182555
457.0;400.5129667302836
458.0;402.15850088249886
459.0;303.47893076724296
460.0;408.25147899024364
461.0;511.38474867752166
462.0;408.0516249547236
463.0;306.5844337693498
464.0;400.57013380721475
465.0;507.5470083375009
466.0;400.69432434572514
467.0;512.3407927294202
468.0;409.0843404792111
469.0;402.0439921188099
470.0;304.9740414029316
471.0;402.4504107047331
