Value;Температура масла на входе в двигатель
0.0;48.302581452240645
1.0;30.999107075093782
2.0;47.669347325223136
3.0;48.70746944266028
4.0;49.39810964776622
5.0;44.51005506488691
6.0;47.892819980279384
7.0;41.923928349608076
8.0;45.58737047625024
9.0;41.54789594627271
10.0;46.74564975691459
11.0;43.35591507553592
12.0;49.51813278792015
13.0;42.445619595519595
14.0;48.62886444321827
15.0;42.00480041660356
16.0;43.16500284847372
17.0;54.824867188288145
18.0;47.11186790412234
19.0;46.21807666708137
20.0;36.25588634770525
21.0;42.054779934202585
22.0;34.513265151643964
23.0;43.00482854400613
24.0;43.689096834637915
25.0;41.156300918936054
26.0;40.87162894250176
27.0;47.8382213099184
28.0;48.09330546215537
29.0;41.93684150642361
30.0;47.39261319263086
31.0;42.11774266519087
32.0;41.68878680250811
33.0;33.416828091103866
34.0;45.25987450757173
35.0;46.57976054587692
36.0;40.911796556742814
37.0;49.072148131856665
38.0;40.54486731564692
39.0;41.233080374367496
40.0;46.30785017638411
41.0;49.6869443866388
42.0;44.48576645882982
43.0;42.12651282409579
44.0;47.74364461000822
45.0;33.3559211911855
46.0;40.02236715385023
47.0;48.56357928644044
48.0;48.06266645757141
49.0;42.74140609821093
50.0;40.83489365747938
51.0;41.05448028630851
52.0;42.18825517789637
53.0;47.47107766749846
54.0;49.13938904739534
55.0;45.86116327126016
56.0;47.79260326007288
57.0;44.271367283942226
58.0;40.045791837733816
59.0;61.572413847172115
60.0;42.89622767926696
61.0;60.33471424045205
62.0;47.62192550463111
63.0;45.626991198630016
64.0;43.46153776617477
65.0;43.71863980099998
66.0;28.93621275532729
67.0;43.15456681055727
68.0;43.427702065387344
69.0;47.644148963646515
70.0;41.4761562520824
71.0;48.10528425874679
72.0;48.31020142115743
73.0;49.35491315553988
74.0;35.68226918107573
75.0;48.3036114604711
76.0;37.30695900554162
77.0;52.94096169663712
78.0;42.937587879782946
79.0;46.46868560469246
80.0;48.00885560831304
81.0;36.84083722956051
82.0;42.74552076634812
83.0;59.60985618307225
84.0;43.55713097944255
85.0;28.084416993877575
86.0;46.12254152890784
87.0;42.39048485191498
88.0;53.2478259210428
89.0;43.33912572771816
90.0;54.40791395985456
91.0;40.046141638313294
92.0;41.94525496043615
93.0;53.19287530353288
94.0;44.523930244843214
95.0;47.882515756496254
96.0;54.22596950119073
97.0;36.81773325724143
98.0;44.95066998169759
99.0;28.567621818005
100.0;45.769241239934104
101.0;45.2401060074073
102.0;46.24369335344717
103.0;43.29112373473381
104.0;44.4123136218527
105.0;45.35119070366885
106.0;41.348421269016406
107.0;42.45506816950522
108.0;33.46025330130578
109.0;43.44691316629761
110.0;43.60789819491918
111.0;33.223603006079664
112.0;55.08923859493743
113.0;48.930335279156964
114.0;48.13064032912223
115.0;33.144265064496345
116.0;48.66692352524264
117.0;46.486308308461
118.0;41.463689186575635
119.0;48.02419988690881
120.0;43.92478143984686
121.0;56.087908313843634
122.0;53.20826293118985
123.0;32.27227437634209
124.0;43.9913385522401
125.0;56.02233151281904
126.0;48.326463869404805
127.0;48.72809562027814
128.0;40.30660008069268
129.0;42.15687503422986
130.0;47.975528601213085
131.0;43.506432807133685
132.0;40.42736683439785
133.0;47.952800220138954
134.0;44.999569505744596
135.0;29.358384845376705
136.0;40.91518509282978
137.0;48.11399511219151
138.0;47.151260398054134
139.0;53.36058530074415
140.0;43.4599466486235
141.0;60.742064111832384
142.0;42.870179150955714
143.0;29.243566210370076
144.0;47.45213815551967
145.0;46.398525120014085
146.0;41.95720247182017
147.0;45.38880072699835
148.0;40.79257934202871
149.0;56.741211553179284
150.0;48.36303534043316
151.0;45.17793863271439
152.0;43.65766032687967
153.0;45.512125883498015
154.0;44.073115023685915
155.0;40.92043489028792
156.0;45.63685365845778
157.0;49.03270995885963
158.0;44.03947858296506
159.0;44.70600378787891
160.0;57.492530178153864
161.0;46.71756610858424
162.0;32.178805945203834
163.0;59.66425793338124
164.0;47.68182645359583
165.0;49.511461405434105
166.0;47.54816203121844
167.0;48.65190513756669
168.0;45.87424342779486
169.0;54.151074999387966
170.0;59.69975493751213
171.0;46.16729721533777
172.0;32.36935516961552
173.0;35.314802231474424
174.0;40.818946678637175
175.0;44.831327769614624
176.0;40.28831832449819
177.0;47.97202049507772
178.0;43.91853657795808
179.0;41.583015188430004
180.0;43.1948104026089
181.0;55.87624125172642
182.0;54.925644584637816
183.0;42.097596103253906
184.0;46.151358719113304
185.0;34.16111614626104
186.0;58.720625448685034
187.0;46.17709509734378
188.0;44.364550700124965
189.0;61.255998583047514
190.0;47.0826685705632
191.0;49.55520556363015
192.0;44.853197091248056
193.0;46.7905559904107
194.0;43.2340745266413
195.0;49.38211341146099
196.0;49.68377167521107
197.0;41.325334297736894
198.0;29.343517711999098
199.0;47.6770058657398
200.0;43.94216107070025
201.0;41.366027665404104
202.0;46.79211623730764
