Value;Температура охлаждающей воды на входе в дизель
0.0;75.716684002669
1.0;91.47126357790195
2.0;72.86697354888675
3.0;68.24080931464083
4.0;95.03403362807995
5.0;71.70637524298033
6.0;88.64934986201743
7.0;75.4991720745762
8.0;49.62728856236187
9.0;75.73526464080336
10.0;50.780299833216986
11.0;89.34800339358868
12.0;77.15731539324
13.0;70.73897360813238
14.0;73.4292475091638
15.0;75.39556742248712
16.0;93.7133807515649
17.0;69.95470010797683
18.0;75.627166894487
19.0;70.54068249457865
20.0;68.18870732893016
21.0;70.90141277086713
22.0;69.96199852271558
23.0;68.17630581481826
24.0;75.87564775246133
25.0;71.80591985898192
26.0;77.00141174050492
27.0;70.16666444333855
28.0;71.85357474232468
29.0;94.16884464597916
30.0;70.17850233551096
31.0;74.84351004932644
32.0;77.45298053228761
33.0;74.49487310102553
34.0;72.68981241316234
35.0;73.16351816810682
36.0;69.3547657474347
37.0;70.88165524973937
38.0;49.47573874822285
39.0;69.96705028575259
40.0;68.56361027827967
41.0;89.25039656935695
42.0;70.33061941431224
43.0;53.574874898376706
44.0;53.35116102711501
45.0;55.482607364764405
46.0;77.85718251590133
47.0;73.24214377621882
48.0;49.28990880474258
49.0;73.29223692995726
50.0;68.26316469146727
51.0;94.6077860870375
52.0;76.49282029542414
53.0;74.07740393163303
54.0;73.38840393168304
55.0;71.0977089941622
56.0;74.81702980747072
57.0;53.06314952672459
58.0;72.16048086821516
59.0;69.0298503743986
60.0;69.8213357287948
61.0;95.00834097742265
62.0;68.21959395555393
63.0;73.96507165053504
64.0;77.92109607356723
65.0;68.76023309606526
66.0;93.93744282263648
67.0;76.57784290849948
68.0;74.44998451066849
69.0;71.6368230363446
70.0;70.72376872228558
71.0;69.93503217644424
72.0;72.45111119881807
73.0;73.88097856792947
74.0;75.15574363380189
75.0;76.70050177746317
76.0;72.39402618100453
77.0;71.43288740284812
78.0;68.5309768501708
79.0;56.05186458048307
80.0;75.11452177683235
81.0;69.61308255766049
82.0;68.75264749146162
83.0;68.49650104484154
84.0;57.35706764943207
85.0;77.16460920285391
86.0;69.54022404987421
87.0;68.518765201283
88.0;68.45561920602924
89.0;94.64875106637783
90.0;73.6075750444811
91.0;76.53418456927088
92.0;56.20700289912597
93.0;74.10792962737462
94.0;73.63300868016206
95.0;76.21986330728687
96.0;54.628812649448406
97.0;75.96490144424584
98.0;74.44358187986587
99.0;70.63979670950192
100.0;68.70421920134257
101.0;76.23015708939795
102.0;55.119991965143754
103.0;77.19496834448498
104.0;58.330756940987214
105.0;70.11125660873876
106.0;53.6998427694929
107.0;71.11539509112416
108.0;68.97765274474165
109.0;68.99087907795897
110.0;76.19759441402205
111.0;75.18988591657754
112.0;74.38733505540566
113.0;69.34915460868602
114.0;70.16974980755097
115.0;70.31446191268556
116.0;70.52591647746881
117.0;72.79617476824056
118.0;50.917195873458226
119.0;96.28119111206406
120.0;68.03634629825561
121.0;70.10613718587629
122.0;70.38422102909524
123.0;74.19150559204215
124.0;69.83796838956106
125.0;70.02053285159047
126.0;72.33150631327517
127.0;71.64728195434662
128.0;54.54599898362737
129.0;77.93478124874142
130.0;69.32975740662988
131.0;71.36163266237276
132.0;74.93260951997817
133.0;68.80054090632665
134.0;68.39659877988157
135.0;69.84064747150263
136.0;92.58766788389057
137.0;74.68347038107936
138.0;76.99432356128273
139.0;70.19927320307058
140.0;69.876658773397
141.0;77.89718920996611
142.0;72.27256682483662
143.0;68.93142635902691
144.0;74.57156039938383
145.0;76.23730960570673
146.0;70.67954870752773
147.0;68.28152518814862
148.0;75.41677442263372
149.0;90.02479759239496
150.0;49.47927301915101
151.0;91.57274905188065
152.0;72.78666902014287
153.0;56.79403389532449
154.0;68.2327651594685
155.0;68.53622191227338
156.0;69.84578639248879
157.0;53.10616669885822
158.0;94.11327250862595
159.0;90.29975220051766
160.0;58.492946844974
161.0;69.38853250860002
162.0;90.04993185646649
163.0;75.3548157457237
164.0;68.75391647692288
165.0;50.93697100323462
166.0;70.33252674344094
167.0;76.11538627725649
168.0;70.49928726328557
169.0;89.59742475129347
170.0;70.44963882464033
171.0;69.49506676069825
172.0;73.34995291804405
173.0;76.50837942001326
174.0;68.72398205087772
175.0;96.88436372223849
176.0;72.61899571395291
177.0;71.92039809744898
178.0;75.54898367094478
179.0;76.14270386068752
180.0;53.08460364274235
181.0;89.23430089590423
182.0;77.26680914630501
183.0;76.08854105828682
184.0;88.68466830680856
185.0;77.17342838635558
186.0;71.05360008641047
187.0;76.04467679131105
188.0;77.02846585232757
189.0;91.18713706019432
190.0;88.19989819742273
191.0;90.57253412017559
192.0;77.4757342389697
